rxn_id	rxn_name	subsystem	selected_subs	KEGG_id	EC	rule	genes_hsa_ncbi	genes_hsa_symbol	genes_mmu_symbol	genes_mmu_synonym
FKYNH	N-Formyl-L-kynurenine amidohydrolase	Tryptophan metabolism	1	NA	3.5.1.9	(x(802))	125061	NA	NA	NA
FMNAT	FMN adenylyltransferase	Vitamin B2 metabolism	0	NA	2.7.7.2	(x(803)) | (x(804))	80308, 80308	FLAD1, FLAD1	FLAD1, FLAD1	A930017E24Rik, Pp591, A930017E24Rik, Pp591
FOLR2	folate reductase	Folate metabolism	0	NA	NA	(x(670))	1719	DHFR	DHFR	8430436I03Rik
FOLt2	folate transport via anion exchange	Transport, extracellular	0	NA	NA	(x(87)) | (x(88))	6573, 6573	SLC19A1, SLC19A1	SLC19A1, SLC19A1	reduced folate carrier, RFC1, RFC-1, reduced folate carrier, RFC1, RFC-1
FPGS	folylpolyglutamate synthetase	Folate metabolism	0	NA	6.3.2.17	(x(805))	2356	FPGS	FPGS	NA
FPGS2	folylpolyglutamate synthetase	Folate metabolism	0	NA	6.3.2.17	(x(805))	2356	FPGS	FPGS	NA
FPGS2m	folylpolyglutamate synthetase, mitochondrial	Folate metabolism	0	NA	6.3.2.17	(x(805))	2356	FPGS	FPGS	NA
FPGS3	folylpolyglutamate synthetase	Folate metabolism	0	NA	6.3.2.17	(x(805))	2356	FPGS	FPGS	NA
FPGS3m	folylpolyglutamate synthetase, mitochondrial	Folate metabolism	0	NA	6.3.2.17	(x(805))	2356	FPGS	FPGS	NA
FPGS4	folylpolyglutamate synthetase (DHF)	Folate metabolism	0	NA	6.3.2.17	(x(805))	2356	FPGS	FPGS	NA
FPGS4m	folylpolyglutamate synthetase (DHF), mitochondrial	Folate metabolism	0	NA	6.3.2.17	(x(805))	2356	FPGS	FPGS	NA
FPGS5	folylpolyglutamate  synthetase (DHF)	Folate metabolism	0	NA	6.3.2.17	(x(805))	2356	FPGS	FPGS	NA
FPGS5m	folylpolyglutamate  synthetase (DHF), mitochondrial	Folate metabolism	0	NA	6.3.2.17	(x(805))	2356	FPGS	FPGS	NA
FPGS6	folylpolyglutamate synthetase (DHF)	Folate metabolism	0	NA	6.3.2.17	(x(805))	2356	FPGS	FPGS	NA
FPGS6m	folylpolyglutamate synthetase (DHF), mitochondrial	Folate metabolism	0	NA	6.3.2.17	(x(805))	2356	FPGS	FPGS	NA
FPGS7	folylpolyglutamate synthetase (10fthf)	Folate metabolism	0	NA	6.3.2.17	(x(805))	2356	FPGS	FPGS	NA
FPGS7m	folylpolyglutamate synthetase (10fthf), mitochondrial	Folate metabolism	0	NA	6.3.2.17	(x(805))	2356	FPGS	FPGS	NA
FPGS8	folylpolyglutamate synthetase (10fthf)	Folate metabolism	0	NA	6.3.2.17	(x(805))	2356	FPGS	FPGS	NA
FPGS8m	folylpolyglutamate synthetase (10fthf), mitochondrial	Folate metabolism	0	NA	6.3.2.17	(x(805))	2356	FPGS	FPGS	NA
FPGS9	folylpolyglutamate synthetase (10fthf)	Folate metabolism	0	NA	6.3.2.17	(x(805))	2356	FPGS	FPGS	NA
FPGS9m	folylpolyglutamate synthetase (10fthf), mitochondrial	Folate metabolism	0	NA	6.3.2.17	(x(805))	2356	FPGS	FPGS	NA
FPGSm	folylpolyglutamate synthetase, mitochondrial	Folate metabolism	0	NA	6.3.2.17	(x(805))	2356	FPGS	FPGS	NA
FRTT	farnesyltranstransferase	Cholesterol metabolism	1	NA	2.5.1.29	(x(677))	9453	GGPS1	GGPS1	1810026C22Rik, 9530089B04Rik, GGPP synthase
FRUt1r	D-fructose transport in via uniport	Transport, extracellular	0	NA	NA	(x(806)) | (x(807)) | (x(808)) | (x(809)) | (x(810))	29988, 6514, 155184, 6518, 66035	NA	NA	NA
FRUt4	D-fructose transport  via sodium cotransport	Transport, extracellular	0	NA	NA	(x(811) | x(812))	125206, 200010	SLC5A10, SLC5A9	SLC5A10, SLC5A9	SGLT5, C330021F16Rik, SGLT4
FTCD	formimidoyltransferase cyclodeaminase	Folate metabolism	0	NA	4.3.1.4	(x(813)) | (x(814))	10841, 10841	FTCD, FTCD	FTCD, FTCD	glutamate formiminotransferase, glutamate formiminotransferase
FTHFCL	5-formethyltetrahydrofolate cyclo-ligase	Folate metabolism	0	NA	6.3.3.2	(x(815))	10588	MTHFS	MTHFS	MTHFSL, Gm2382, 2310020H23Rik, 1110034I12Rik
FTHFDH	formyltetrahydrofolate dehydrogenase	Folate metabolism	0	NA	1.5.1.6	(x(799)) | (x(816))	10840, 160428	NA	NA	NA
FTHFL	Formate-tetrahydrofolate ligase	Folate metabolism	0	NA	NA	(x(817)) | (x(818))	4522, 286297	NA	NA	NA
FTHFLm	formate-tetrahydrofolate ligase, mitochondrial	Folate metabolism	0	NA	6.3.4.3	(x(819)) | (x(817))	25902, 4522	MTHFD1L, MTHFD1	MTHFD1L, MTHFD1	Fthfsdc1, 2410004L15Rik, E430024A07Rik, DCS, Mthfd
FUCASE2e	alpha-fucosidase, extracellular	Keratan sulfate degradation	1	NA	3.2.1.51	(x(820))	2519	FUCA2	FUCA2	0610025O11Rik, 5530401P20Rik
FUCASE2ly	alpha-fucosidase, lysosomal	Keratan sulfate degradation	1	NA	3.2.1.51	(x(821))	2517	FUCA1	FUCA1	9530055J05Rik, 0610006A03Rik, Afuc
FUCASEe	alpha-fucosidase, extracellular	N-glycan degradation	1	NA	3.2.1.51	(x(820))	2519	FUCA2	FUCA2	0610025O11Rik, 5530401P20Rik
FUCASEly	alpha-fucosidase, lysosomal	N-glycan degradation	1	NA	3.2.1.51	(x(821))	2517	FUCA1	FUCA1	9530055J05Rik, 0610006A03Rik, Afuc
FUM	fumarase	Citric acid cycle	1	NA	4.2.1.2	x(822)	2271	FH	FH1	fumarase
FUMAC	fumarylacetoacetase	Tyrosine metabolism	1	NA	3.7.1.2	x(823)	2184	FAH	FAH	NA
FUMm	fumarase, mitochondrial	Citric acid cycle	1	NA	4.2.1.2	x(822)	2271	FH	FH1	fumarase
FUMSO3tm	Fumarate:sulfite antiport, mitochondrial	Transport, mitochondrial	0	NA	NA	(x(257))	1468	SLC25A10	SLC25A10	Dic
FUMSO4tm	Fumarate:sulfate antiport, mitochondrial	Transport, mitochondrial	0	NA	NA	(x(257))	1468	SLC25A10	SLC25A10	Dic
FUMtm	fumarate transport, mitochondrial	Transport, mitochondrial	0	NA	NA	(x(257))	1468	SLC25A10	SLC25A10	Dic
FUMTSULtm	Fumarate:thiosulfate antiport, mitochondrial	Transport, mitochondrial	0	NA	NA	(x(257))	1468	SLC25A10	SLC25A10	Dic
FUT11g	Galactoside 2-alpha-L-fucosyltransferase 1	Sphingolipid metabolism	1	NA	2.4.1.69	(x(824))	2523	FUT1	FUT1	H transferase
FUT12g	Galactoside 2-alpha-L-fucosyltransferase 1	Blood group synthesis	0	NA	2.4.1.69	(x(824))	2523	FUT1	FUT1	H transferase
FUT14g	Galactoside 2-alpha-L-fucosyltransferase 1	Blood group synthesis	0	NA	2.4.1.69	(x(824))	2523	FUT1	FUT1	H transferase
FUT15g	Galactoside 2-alpha-L-fucosyltransferase 1	Blood group synthesis	0	NA	2.4.1.69	(x(824))	2523	FUT1	FUT1	H transferase
FUT16g	Galactoside 2-alpha-L-fucosyltransferase 1	Blood group synthesis	0	NA	2.4.1.69	(x(824))	2523	FUT1	FUT1	H transferase
FUT17g	Galactoside 2-alpha-L-fucosyltransferase 1	Blood group synthesis	0	NA	2.4.1.69	(x(824))	2523	FUT1	FUT1	H transferase
FUT18g	Galactoside 2-alpha-L-fucosyltransferase 1	Blood group synthesis	0	NA	2.4.1.69	(x(824))	2523	FUT1	FUT1	H transferase
FUT31g	fucosyltransferase 3 (galactoside 3(4)-L-fucosyltransferase, Lewis blood group included) 1	Blood group synthesis	0	NA	2.4.1.65	(x(825))	2525	NA	NA	NA
FUT32g	fucosyltransferase 3 (galactoside 3(4)-L-fucosyltransferase, Lewis blood group included) 1	Blood group synthesis	0	NA	2.4.1.65	(x(825))	2525	NA	NA	NA
FUT33g	fucosyltransferase 3 (galactoside 3(4)-L-fucosyltransferase, Lewis blood group included) 1	Blood group synthesis	0	NA	2.4.1.65	(x(825))	2525	NA	NA	NA
FUT34g	fucosyltransferase 3 (galactoside 3(4)-L-fucosyltransferase, Lewis blood group included) 1	Blood group synthesis	0	NA	2.4.1.65	(x(825))	2525	NA	NA	NA
FUT35g	fucosyltransferase 3 (galactoside 3(4)-L-fucosyltransferase, Lewis blood group included) 1	Blood group synthesis	0	NA	2.4.1.65	(x(825))	2525	NA	NA	NA
FUT910g	Alpha-(1,3)-fucosyltransferase	Blood group synthesis	0	NA	2.4.1.152	(x(826))	10690	FUT9	FUT9	mFUT9, mFuc-TIX
FUT911g	Alpha-(1,3)-fucosyltransferase	Blood group synthesis	0	NA	2.4.1.152	(x(826))	10690	FUT9	FUT9	mFUT9, mFuc-TIX
FUT91g	Alpha-(1,3)-fucosyltransferase	Blood group synthesis	0	NA	2.4.1.152	(x(826))	10690	FUT9	FUT9	mFUT9, mFuc-TIX
FUT92g	Alpha-(1,3)-fucosyltransferase	Blood group synthesis	0	NA	2.4.1.152	(x(826))	10690	FUT9	FUT9	mFUT9, mFuc-TIX
FUT93g	Alpha-(1,3)-fucosyltransferase	Blood group synthesis	0	NA	2.4.1.152	(x(826))	10690	FUT9	FUT9	mFUT9, mFuc-TIX
FUT94g	Alpha-(1,3)-fucosyltransferase	Blood group synthesis	0	NA	2.4.1.152	(x(826))	10690	FUT9	FUT9	mFUT9, mFuc-TIX
FUT95g	Alpha-(1,3)-fucosyltransferase	Blood group synthesis	0	NA	2.4.1.152	(x(826))	10690	FUT9	FUT9	mFUT9, mFuc-TIX
FUT96g	Alpha-(1,3)-fucosyltransferase	Blood group synthesis	0	NA	2.4.1.152	(x(826))	10690	FUT9	FUT9	mFUT9, mFuc-TIX
FUT97g	Alpha-(1,3)-fucosyltransferase	Blood group synthesis	0	NA	2.4.1.152	(x(826))	10690	FUT9	FUT9	mFUT9, mFuc-TIX
FUT98g	Alpha-(1,3)-fucosyltransferase	Blood group synthesis	0	NA	2.4.1.152	(x(826))	10690	FUT9	FUT9	mFUT9, mFuc-TIX
FUT99g	Alpha-(1,3)-fucosyltransferase	Blood group synthesis	0	NA	2.4.1.152	(x(826))	10690	FUT9	FUT9	mFUT9, mFuc-TIX
G13MT_L	Glycolipid 1,3-alpha-D-mannosyltransferase (liver)	N-glycan synthesis	1	NA	2.4.1.132	(x(827)) | (x(828))	85365, 85365	ALG2, ALG2	ALG2, ALG2	1110018A23Rik, ALPG2, CDGIi, 1300013N08Rik, 1110018A23Rik, ALPG2, CDGIi, 1300013N08Rik
G13MT_U	Glycolipid 1,3-alpha-D-mannosyltransferase (uterus)	N-glycan synthesis	1	NA	2.4.1.132	(x(827)) | (x(828))	85365, 85365	ALG2, ALG2	ALG2, ALG2	1110018A23Rik, ALPG2, CDGIi, 1300013N08Rik, 1110018A23Rik, ALPG2, CDGIi, 1300013N08Rik
G14T10g	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi	Keratan sulfate synthesis	1	NA	2.4.1.38	(x(829)) | (x(830)) | (x(831)) | (x(832)) | (x(833))	9334, 2683, 8703, 8704, 8704	B4GALT5, B4GALT1, B4GALT3, B4GALT2, B4GALT2	B4GALT5, B4GALT1, B4GALT3, B4GALT2, B4GALT2	NA
G14T11g	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi	Keratan sulfate synthesis	1	NA	2.4.1.38	(x(831)) | (x(832)) | (x(833)) | (x(830)) | (x(829))	8703, 8704, 8704, 2683, 9334	B4GALT3, B4GALT2, B4GALT2, B4GALT1, B4GALT5	B4GALT3, B4GALT2, B4GALT2, B4GALT1, B4GALT5	NA
G14T12g	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi	Keratan sulfate synthesis	1	NA	2.4.1.38	(x(831)) | (x(830)) | (x(832)) | (x(833)) | (x(829))	8703, 2683, 8704, 8704, 9334	B4GALT3, B4GALT1, B4GALT2, B4GALT2, B4GALT5	B4GALT3, B4GALT1, B4GALT2, B4GALT2, B4GALT5	NA
G14T13g	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi	Keratan sulfate synthesis	1	NA	2.4.1.38	(x(831)) | (x(830)) | (x(832)) | (x(833)) | (x(829))	8703, 2683, 8704, 8704, 9334	B4GALT3, B4GALT1, B4GALT2, B4GALT2, B4GALT5	B4GALT3, B4GALT1, B4GALT2, B4GALT2, B4GALT5	NA
G14T14g	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi	Keratan sulfate synthesis	1	NA	2.4.1.38	(x(831)) | (x(832)) | (x(833)) | (x(830)) | (x(829))	8703, 8704, 8704, 2683, 9334	B4GALT3, B4GALT2, B4GALT2, B4GALT1, B4GALT5	B4GALT3, B4GALT2, B4GALT2, B4GALT1, B4GALT5	NA
G14T15g	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi	Keratan sulfate synthesis	1	NA	2.4.1.38	(x(831)) | (x(830)) | (x(832)) | (x(833)) | (x(829))	8703, 2683, 8704, 8704, 9334	B4GALT3, B4GALT1, B4GALT2, B4GALT2, B4GALT5	B4GALT3, B4GALT1, B4GALT2, B4GALT2, B4GALT5	NA
G14T16g	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi	Keratan sulfate synthesis	1	NA	2.4.1.38	(x(831)) | (x(830)) | (x(832)) | (x(833)) | (x(829))	8703, 2683, 8704, 8704, 9334	B4GALT3, B4GALT1, B4GALT2, B4GALT2, B4GALT5	B4GALT3, B4GALT1, B4GALT2, B4GALT2, B4GALT5	NA
G14T17g	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi	Keratan sulfate synthesis	1	NA	2.4.1.38	(x(831)) | (x(832)) | (x(833)) | (x(830)) | (x(829))	8703, 8704, 8704, 2683, 9334	B4GALT3, B4GALT2, B4GALT2, B4GALT1, B4GALT5	B4GALT3, B4GALT2, B4GALT2, B4GALT1, B4GALT5	NA
G14T18g	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi	Keratan sulfate synthesis	1	NA	2.4.1.38	(x(831)) | (x(832)) | (x(833)) | (x(830)) | (x(829))	8703, 8704, 8704, 2683, 9334	B4GALT3, B4GALT2, B4GALT2, B4GALT1, B4GALT5	B4GALT3, B4GALT2, B4GALT2, B4GALT1, B4GALT5	NA
G14T19g	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi	Keratan sulfate synthesis	1	NA	2.4.1.38	(x(829)) | (x(833)) | (x(831)) | (x(832)) | (x(830))	9334, 8704, 8703, 8704, 2683	B4GALT5, B4GALT2, B4GALT3, B4GALT2, B4GALT1	B4GALT5, B4GALT2, B4GALT3, B4GALT2, B4GALT1	NA
G14T20g	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi	Keratan sulfate synthesis	1	NA	2.4.1.38	(x(831)) | (x(830)) | (x(832)) | (x(833)) | (x(829))	8703, 2683, 8704, 8704, 9334	B4GALT3, B4GALT1, B4GALT2, B4GALT2, B4GALT5	B4GALT3, B4GALT1, B4GALT2, B4GALT2, B4GALT5	NA
G14T21g	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi	Keratan sulfate synthesis	1	NA	2.4.1.38	(x(831)) | (x(830)) | (x(832)) | (x(833)) | (x(829))	8703, 2683, 8704, 8704, 9334	B4GALT3, B4GALT1, B4GALT2, B4GALT2, B4GALT5	B4GALT3, B4GALT1, B4GALT2, B4GALT2, B4GALT5	NA
G14T2g	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi	Keratan sulfate synthesis	1	NA	2.4.1.38	(x(831)) | (x(830)) | (x(832)) | (x(833)) | (x(829))	8703, 2683, 8704, 8704, 9334	B4GALT3, B4GALT1, B4GALT2, B4GALT2, B4GALT5	B4GALT3, B4GALT1, B4GALT2, B4GALT2, B4GALT5	NA
G14T3g	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi	Keratan sulfate synthesis	1	NA	2.4.1.38	(x(831)) | (x(830)) | (x(832)) | (x(833)) | (x(829))	8703, 2683, 8704, 8704, 9334	B4GALT3, B4GALT1, B4GALT2, B4GALT2, B4GALT5	B4GALT3, B4GALT1, B4GALT2, B4GALT2, B4GALT5	NA
G14T4g	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi	Keratan sulfate synthesis	1	NA	2.4.1.38	(x(831)) | (x(830)) | (x(832)) | (x(833)) | (x(829))	8703, 2683, 8704, 8704, 9334	B4GALT3, B4GALT1, B4GALT2, B4GALT2, B4GALT5	B4GALT3, B4GALT1, B4GALT2, B4GALT2, B4GALT5	NA
G14T5g	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi	Keratan sulfate synthesis	1	NA	2.4.1.38	(x(829)) | (x(830)) | (x(832)) | (x(833)) | (x(831))	9334, 2683, 8704, 8704, 8703	B4GALT5, B4GALT1, B4GALT2, B4GALT2, B4GALT3	B4GALT5, B4GALT1, B4GALT2, B4GALT2, B4GALT3	NA
G14T6g	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi	Keratan sulfate synthesis	1	NA	2.4.1.38	(x(831)) | (x(830)) | (x(832)) | (x(833)) | (x(829))	8703, 2683, 8704, 8704, 9334	B4GALT3, B4GALT1, B4GALT2, B4GALT2, B4GALT5	B4GALT3, B4GALT1, B4GALT2, B4GALT2, B4GALT5	NA
G14T7g	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi	Keratan sulfate synthesis	1	NA	2.4.1.38	(x(833)) | (x(831)) | (x(830)) | (x(829)) | (x(832))	8704, 8703, 2683, 9334, 8704	B4GALT2, B4GALT3, B4GALT1, B4GALT5, B4GALT2	B4GALT2, B4GALT3, B4GALT1, B4GALT5, B4GALT2	NA
G14T8g	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi	Keratan sulfate synthesis	1	NA	2.4.1.38	(x(831)) | (x(830)) | (x(832)) | (x(833)) | (x(829))	8703, 2683, 8704, 8704, 9334	B4GALT3, B4GALT1, B4GALT2, B4GALT2, B4GALT5	B4GALT3, B4GALT1, B4GALT2, B4GALT2, B4GALT5	NA
G14T9g	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi	Keratan sulfate synthesis	1	NA	2.4.1.38	(x(831)) | (x(830)) | (x(832)) | (x(833)) | (x(829))	8703, 2683, 8704, 8704, 9334	B4GALT3, B4GALT1, B4GALT2, B4GALT2, B4GALT5	B4GALT3, B4GALT1, B4GALT2, B4GALT2, B4GALT5	NA
G14Tg	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase	N-glycan synthesis	1	NA	2.4.1.38	(x(829)) | (x(830)) | (x(833)) | (x(831)) | (x(832))	9334, 2683, 8704, 8703, 8704	B4GALT5, B4GALT1, B4GALT2, B4GALT3, B4GALT2	B4GALT5, B4GALT1, B4GALT2, B4GALT3, B4GALT2	NA
G3PD1	glycerol-3-phosphate dehydrogenase (NAD)	Glycerophospholipid metabolism	1	NA	1.1.1.94	x(834)	2819	GPD1	GPD1	Gdc1, Gdc-1
G3PD2m	glycerol-3-phosphate dehydrogenase (FAD), mitochondrial	Glycolysis/gluconeogenesis	1	NA	1.1.99.5	(x(835))	2820	GPD2	GPD2	Gdm1
G5SDym	glutamate-5-semialdehyde dehydrogenase (m)	Urea cycle	1	NA	1.2.1.41	x(244)	5832	ALDH18A1	ALDH18A1	Pycs, 2810433K04Rik
G6PDA	glucosamine-6-phosphate deaminase	Aminosugar metabolism	1	NA	3.5.99.6	(x(836)) | (x(837))	132789, 10007	GNPDA2, GNPDA1	GNPDA2, GNPDA1	4933412A11Rik, Gnp2, 4921523I18Rik, Gnpi, Gnp1, oscillin, glucose-6-phosphate isomerase
G6PDH1rer	glucose-6-phosphate dehydrogenase, endoplasmic reticulum	Pentose phosphate pathway	1	NA	1.1.1.47	(x(838))	9563	H6PD	H6PD	G6pd1, Gpd1, Gpd-1
G6PDH2r	glucose 6-phosphate dehydrogenase	Pentose phosphate pathway	1	NA	1.1.1.49	x(839)	2539	G6PD	G6PDX	G6pd, Gpdx, G28A
G6PDH2rer	glucose 6-phosphate dehydrogenase, endoplasmic reticulum	Pentose phosphate pathway	1	NA	1.1.1.47	(x(838)) | (x(839))	9563, 2539	H6PD, G6PD	H6PD, G6PDX	G6pd1, Gpd1, Gpd-1, G6pd, Gpdx, G28A
G6PPer	glucose-6-phosphate phosphatase, edoplasmic reticular	Glycolysis/gluconeogenesis	1	NA	3.1.3.9	(x(498)) | (x(497)) | (x(499))	57818, 2538, 92579	G6PC2, G6PC, G6PC3	G6PC2, G6PC, G6PC3	G6pc-rs, IGRP, islet specific glucose-6-phosphatase, Glc-6-Pase, Glc-6-Pase-alpha, G6pt, G6Pase, 0710001K01Rik
G6Pter	glucose 6-phosphate endoplasmic reticular transport via diffusion	Transport, endoplasmic reticular	0	NA	NA	x(840)	2542	SLC37A4	SLC37A4	G6PT, G6pt1
GABAVESSEC	GABA secretion via secretory vesicle (ATP driven)	Transport, extracellular	0	NA	NA	(x(450))	140679	SLC32A1	SLC32A1	Viaat, R75019, VGAT
GACMTRc	guanidinoacetate N-methyltransferase (c)	Urea cycle	1	NA	2.1.1.2	(x(841)) | (x(842))	2593, 2593	GAMT, GAMT	GAMT, GAMT	Spintz1, Spintz1
GAL3ST11	Galactosylceramide sulfotransferase	Sphingolipid metabolism	1	NA	2.8.2.11	(x(843))	9514	GAL3ST1	GAL3ST1	Cst, Gcst, galactosylceramide sulfotransferase, 3'-phosphoadenylylsulfate-galactosylceramide 3'-sulfotransferase, GalCer sulfotransferase
GAL3ST12	Galactosylceramide sulfotransferase	Sphingolipid metabolism	1	NA	2.8.2.11	(x(843))	9514	GAL3ST1	GAL3ST1	Cst, Gcst, galactosylceramide sulfotransferase, 3'-phosphoadenylylsulfate-galactosylceramide 3'-sulfotransferase, GalCer sulfotransferase
GALASE10ly	beta-galactosidase, lysosomal	Keratan sulfate degradation	1	NA	3.2.1.23	(x(844)) & (x(845)) & (x(846)) & (x(847)) | (x(844)) & (x(845))	5476, 2720, 2588, 4758, 5476, 2720	CTSA, GLB1, GALNS, NEU1, CTSA, GLB1	CTSA, GLB1, GALNS, NEU1, CTSA, GLB1	Ppgb, PPCA, C130097A14Rik, Bgl-t, Bgl-s, Bgl-e, Bgl, Bgt, Bge, Bgs, N-acetylgalactosamine-6-sulfate sulfatase, Bat7, Aglp, Neu-1, Map-2, Apl, Bat-7, sialidase 1, lysosomal sialidase, G9, Ppgb, PPCA, C130097A14Rik, Bgl-t, Bgl-s, Bgl-e, Bgl, Bgt, Bge, Bgs
GALASE11ly	beta-galactosidase, lysosomal	Keratan sulfate degradation	1	NA	3.2.1.23	(x(844)) & (x(845)) & (x(846)) & (x(847)) | (x(844)) & (x(845))	5476, 2720, 2588, 4758, 5476, 2720	CTSA, GLB1, GALNS, NEU1, CTSA, GLB1	CTSA, GLB1, GALNS, NEU1, CTSA, GLB1	Ppgb, PPCA, C130097A14Rik, Bgl-t, Bgl-s, Bgl-e, Bgl, Bgt, Bge, Bgs, N-acetylgalactosamine-6-sulfate sulfatase, Bat7, Aglp, Neu-1, Map-2, Apl, Bat-7, sialidase 1, lysosomal sialidase, G9, Ppgb, PPCA, C130097A14Rik, Bgl-t, Bgl-s, Bgl-e, Bgl, Bgt, Bge, Bgs
GALASE12ly	beta-galactosidase, lysosomal	Keratan sulfate degradation	1	NA	3.2.1.23	(x(844)) & (x(845)) & (x(846)) & (x(847)) | (x(844)) & (x(845))	5476, 2720, 2588, 4758, 5476, 2720	CTSA, GLB1, GALNS, NEU1, CTSA, GLB1	CTSA, GLB1, GALNS, NEU1, CTSA, GLB1	Ppgb, PPCA, C130097A14Rik, Bgl-t, Bgl-s, Bgl-e, Bgl, Bgt, Bge, Bgs, N-acetylgalactosamine-6-sulfate sulfatase, Bat7, Aglp, Neu-1, Map-2, Apl, Bat-7, sialidase 1, lysosomal sialidase, G9, Ppgb, PPCA, C130097A14Rik, Bgl-t, Bgl-s, Bgl-e, Bgl, Bgt, Bge, Bgs
GALASE13ly	beta-galactosidase, lysosomal	Keratan sulfate degradation	1	NA	3.2.1.23	(x(844)) & (x(845)) & (x(846)) & (x(847)) | (x(844)) & (x(845))	5476, 2720, 2588, 4758, 5476, 2720	CTSA, GLB1, GALNS, NEU1, CTSA, GLB1	CTSA, GLB1, GALNS, NEU1, CTSA, GLB1	Ppgb, PPCA, C130097A14Rik, Bgl-t, Bgl-s, Bgl-e, Bgl, Bgt, Bge, Bgs, N-acetylgalactosamine-6-sulfate sulfatase, Bat7, Aglp, Neu-1, Map-2, Apl, Bat-7, sialidase 1, lysosomal sialidase, G9, Ppgb, PPCA, C130097A14Rik, Bgl-t, Bgl-s, Bgl-e, Bgl, Bgt, Bge, Bgs
GALASE14ly	beta-galactosidase, lysosomal	Keratan sulfate degradation	1	NA	3.2.1.23	(x(844)) & (x(845)) & (x(846)) & (x(847)) | (x(844)) & (x(845))	5476, 2720, 2588, 4758, 5476, 2720	CTSA, GLB1, GALNS, NEU1, CTSA, GLB1	CTSA, GLB1, GALNS, NEU1, CTSA, GLB1	Ppgb, PPCA, C130097A14Rik, Bgl-t, Bgl-s, Bgl-e, Bgl, Bgt, Bge, Bgs, N-acetylgalactosamine-6-sulfate sulfatase, Bat7, Aglp, Neu-1, Map-2, Apl, Bat-7, sialidase 1, lysosomal sialidase, G9, Ppgb, PPCA, C130097A14Rik, Bgl-t, Bgl-s, Bgl-e, Bgl, Bgt, Bge, Bgs
GALASE15ly	beta-galactosidase, lysosomal	Keratan sulfate degradation	1	NA	3.2.1.23	(x(844)) & (x(845)) & (x(846)) & (x(847)) | (x(844)) & (x(845))	5476, 2720, 2588, 4758, 5476, 2720	CTSA, GLB1, GALNS, NEU1, CTSA, GLB1	CTSA, GLB1, GALNS, NEU1, CTSA, GLB1	Ppgb, PPCA, C130097A14Rik, Bgl-t, Bgl-s, Bgl-e, Bgl, Bgt, Bge, Bgs, N-acetylgalactosamine-6-sulfate sulfatase, Bat7, Aglp, Neu-1, Map-2, Apl, Bat-7, sialidase 1, lysosomal sialidase, G9, Ppgb, PPCA, C130097A14Rik, Bgl-t, Bgl-s, Bgl-e, Bgl, Bgt, Bge, Bgs
GALASE16ly	beta-galactosidase, lysosomal	Keratan sulfate degradation	1	NA	3.2.1.23	(x(844)) & (x(845)) & (x(846)) & (x(847)) | (x(844)) & (x(845))	5476, 2720, 2588, 4758, 5476, 2720	CTSA, GLB1, GALNS, NEU1, CTSA, GLB1	CTSA, GLB1, GALNS, NEU1, CTSA, GLB1	Ppgb, PPCA, C130097A14Rik, Bgl-t, Bgl-s, Bgl-e, Bgl, Bgt, Bge, Bgs, N-acetylgalactosamine-6-sulfate sulfatase, Bat7, Aglp, Neu-1, Map-2, Apl, Bat-7, sialidase 1, lysosomal sialidase, G9, Ppgb, PPCA, C130097A14Rik, Bgl-t, Bgl-s, Bgl-e, Bgl, Bgt, Bge, Bgs
